School Code,Academic Year,District Name,School Name,School Type,"Educational 
Option Type","Charter 
School 
(0=No, 1 = Yes)","Percent (%) 
Eligible FRPM 
(K-12)"
6007033,2019,Parlier Unified,Mathew J Brletic Elementary,Elementary Schools (Public),Traditional,0,100
6006647,2019,Golden Plains Unified,Helm Elementary,Elementary Schools (Public),Traditional,0,100
1030774,2019,Washington Unified,W.E.B. DuBois Public Charter,K-12 Schools (Public),Traditional,1,100
1132109,2019,Stony Creek Joint Unified,Elk Creek Junior-Senior High,High Schools (Public),Traditional,0,100
6007553,2019,Stony Creek Joint Unified,Indian Valley Elementary,Elementary Schools (Public),Traditional,0,100
6008742,2019,Death Valley Unified,Shoshone Elementary,Elementary Schools (Public),Traditional,0,100
6010227,2019,Vineland Elementary,Sunset,Intermediate/Middle Schools (Public),Traditional,0,100
6010789,2019,Ravendale-Termo Elementary,Juniper Ridge Elementary,Elementary Schools (Public),Traditional,0,100
1930601,2019,Baldwin Park Unified,Baldwin Park High,High Schools (Public),Traditional,0,100
1938166,2019,Baldwin Park Unified,Sierra Vista High,High Schools (Public),Traditional,0,100
6011373,2019,Baldwin Park Unified,Charles Bursch Elementary,Elementary Schools (Public),Traditional,0,100
6011381,2019,Baldwin Park Unified,Central Elementary,Elementary Schools (Public),Traditional,0,100
6011399,2019,Baldwin Park Unified,Charles D. Jones Junior High,Intermediate/Middle Schools (Public),Traditional,0,100
6011407,2019,Baldwin Park Unified,De Anza Elementary,Elementary Schools (Public),Traditional,0,100
6011415,2019,Baldwin Park Unified,Elwin Elementary,Elementary Schools (Public),Traditional,0,100
6011423,2019,Baldwin Park Unified,Foster Elementary,Elementary Schools (Public),Traditional,0,100
6011431,2019,Baldwin Park Unified,Ernest R. Geddes Elementary,Elementary Schools (Public),Traditional,0,100
6011449,2019,Baldwin Park Unified,Kenmore Elementary,Elementary Schools (Public),Traditional,0,100
6011456,2019,Baldwin Park Unified,Jerry D. Holland Middle,Intermediate/Middle Schools (Public),Traditional,0,100
6011464,2019,Baldwin Park Unified,Margaret Heath Elementary,Elementary Schools (Public),Traditional,0,100
6011480,2019,Baldwin Park Unified,Pleasant View Elementary,Elementary Schools (Public),Traditional,0,100
6011498,2019,Baldwin Park Unified,Tracy Elementary,Elementary Schools (Public),Traditional,0,100
6096135,2019,Baldwin Park Unified,Sierra Vista Junior High,Intermediate/Middle Schools (Public),Traditional,0,100
100289,2019,Los Angeles Unified,N.E.W. Academy of Science and Arts,Elementary Schools (Public),Traditional,1,100
134023,2019,Los Angeles Unified,Animo Florence-Firestone Charter Middle,Intermediate/Middle Schools (Public),Traditional,1,100
6117667,2019,Los Angeles Unified,Camino Nuevo Charter Academy,Elementary Schools (Public),Traditional,1,100
100180,2019,Chawanakee Unified,Mountain Oaks High,High Schools (Public),Traditional,0,100
2230084,2019,Mariposa County Unified,Yosemite Park High,High Schools (Public),Traditional,0,100
6116149,2019,Mendocino Unified,Albion Elementary,Elementary Schools (Public),Traditional,0,100
124347,2019,San Diego Unified,City Heights Preparatory Charter,K-12 Schools (Public),Traditional,1,100
6050389,2019,Indian Springs Elementary,Indian Springs Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050744,2019,Forks of Salmon Elementary,Forks of Salmon Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050769,2019,Gazelle Union Elementary,Gazelle Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6054100,2019,Hot Springs Elementary,Hot Springs Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
5530100,2019,Summerville Union High,Cold Springs High,High Schools (Public),Traditional,0,100
5530175,2019,Summerville Union High,Mountain High,High Schools (Public),Traditional,0,100
0115386,2021,Oakland Unified,Civicorps Corpsmember Academy,High Schools (Public),Traditional,0,100
0121210,2021,Oakland Unified,Infant and Preschool Program,Preschool,Traditional,0,100
6002927,2021,Pioneer Union Elementary,Berry Creek Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6005763,2021,Big Creek Elementary,Big Creek Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6008007,2021,Klamath-Trinity Joint Unified,Weitchpec Elementary,Elementary Schools (Public),Traditional,0,100
6009419,2021,Di Giorgio Elementary,Di Giorgio Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6010235,2021,Vineland Elementary,Vineland Elementary,Elementary Schools (Public),Traditional,0,100
0128991,2021,Inglewood Unified,Grace Hopper STEM Academy,Intermediate/Middle Schools (Public),Traditional,0,100
6014955,2021,Lennox,Felton Elementary,Elementary Schools (Public),Traditional,0,100
6015812,2021,Los Angeles Unified,Ann Street Elementary,Elementary Schools (Public),Traditional,0,100
6016612,2021,Los Angeles Unified,Compton Avenue Elementary,Elementary Schools (Public),Traditional,0,100
6017990,2021,Los Angeles Unified,Magnolia Avenue Elementary,Elementary Schools (Public),Traditional,0,100
0131847,2021,Los Angeles Unified,Public Policy Charter,Intermediate/Middle Schools (Public),Traditional,0,100
6058028,2021,Los Angeles Unified,Samuel Gompers Middle,Intermediate/Middle Schools (Public),Traditional,0,100
0100180,2021,Chawanakee Unified,Mountain Oaks High,High Schools (Public),Traditional,0,100
2230076,2021,Mariposa County Unified,Coulterville High,High Schools (Public),Traditional,0,100
2330272,2021,Round Valley Unified,Eel River Charter,Elementary Schools (Public),Traditional,0,100
0132613,2021,Orange County Department of Education,Vista Heritage Global Academy,Intermediate/Middle Schools (Public),Traditional,0,100
3330685,2021,Moreno Valley Unified,Moreno Valley Community Learning Center,High Schools (Public),Traditional,0,100
0125203,2021,Twin Rivers Unified,Nova Opportunity,Intermediate/Middle Schools (Public),Traditional,0,100
6035158,2021,Willow Grove Union Elementary,Willow Grove Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
0126714,2021,San Bernardino City Unified,Woodward Leadership Academy,Elementary Schools (Public),Traditional,0,100
6113468,2021,Bonsall Unified,Vivian Banks Charter,Elementary Schools (Public),Traditional,0,100
0117853,2021,Stockton Unified,Dr. Lewis Dolphin Stallworth Sr. Charter,Elementary Schools (Public),Traditional,0,100
6050710,2021,Dunsmuir Elementary,Dunsmuir Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050769,2021,Gazelle Union Elementary,Gazelle Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050827,2021,Klamath River Union Elementary,Klamath River Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050926,2021,Seiad Elementary,Seiad Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6051866,2021,Monte Rio Union Elementary,Monte Rio Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6052013,2021,Kashia Elementary,Kashia Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6053839,2021,Allensworth Elementary,Allensworth Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6054100,2021,Hot Springs Elementary,Hot Springs Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6089080,2022,Palermo Union Elementary,Honcut,Elementary Schools (Public),Traditional,0,100
6002927,2022,Pioneer Union Elementary,Berry Creek Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6005805,2022,Golden Plains Unified,Cantua Elementary,Elementary Schools (Public),Traditional,0,100
6008080,2022,Orick Elementary,Orick Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6008197,2022,Southern Humboldt Joint Unified,Casterlin Elementary,Elementary Schools (Public),Traditional,0,100
0140376,2022,Southern Humboldt Joint Unified,Casterlin High,High Schools (Public),Traditional,0,100
6009419,2022,Di Giorgio Elementary,Di Giorgio Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6010235,2022,Vineland Elementary,Vineland Elementary,Elementary Schools (Public),Traditional,0,100
0106880,2022,Los Angeles County Office of Education,Jardin de la Infancia,Elementary Schools (Public),Traditional,0,100
0139170,2022,Los Angeles County Office of Education,Lashon Academy City,Elementary Schools (Public),Traditional,0,100
0140756,2022,Los Angeles County Office of Education,T.I.M.E. Community,High Schools (Public),Traditional,0,100
6015812,2022,Los Angeles Unified,Ann Street Elementary,Elementary Schools (Public),Traditional,0,100
6016612,2022,Los Angeles Unified,Compton Avenue Elementary,Elementary Schools (Public),Traditional,0,100
2230076,2022,Mariposa County Unified,Coulterville High,High Schools (Public),Traditional,0,100
0124347,2022,San Diego Unified,City Heights Preparatory Charter,K-12 Schools (Public),Traditional,0,100
6050389,2022,Indian Springs Elementary,Indian Springs Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050744,2022,Forks of Salmon Elementary,Forks of Salmon Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050827,2022,Klamath River Union Elementary,Klamath River Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050926,2022,Seiad Elementary,Seiad Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6054100,2022,Hot Springs Elementary,Hot Springs Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6054324,2022,Rockford Elementary,Rockford Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6002927,2023,Pioneer Union Elementary,Berry Creek Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6005805,2023,Golden Plains Unified,Cantua Elementary,Elementary Schools (Public),Traditional,0,100
6008080,2023,Orick Elementary,Orick Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6008239,2023,Southern Humboldt Joint Unified,Whitethorn Elementary,Elementary Schools (Public),Traditional,0,100
6009419,2023,Di Giorgio Elementary,Di Giorgio Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
0122853,2023,Maricopa Unified,Maricopa Middle,Intermediate/Middle Schools (Public),Traditional,0,100
6009740,2023,Maricopa Unified,Maricopa Elementary,Elementary Schools (Public),Traditional,0,100
6010227,2023,Vineland Elementary,Sunset,Intermediate/Middle Schools (Public),Traditional,0,100
6010235,2023,Vineland Elementary,Vineland Elementary,Elementary Schools (Public),Traditional,0,100
6010789,2023,Ravendale-Termo Elementary,Juniper Ridge Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
0106880,2023,Los Angeles County Office of Education,Jardin de la Infancia,Elementary Schools (Public),Traditional,1,100
0134361,2023,Los Angeles County Office of Education,Russell Westbrook Why Not? Middle,Intermediate/Middle Schools (Public),Traditional,1,100
6017990,2023,Los Angeles Unified,Magnolia Avenue Elementary,Elementary Schools (Public),Traditional,0,100
6058028,2023,Los Angeles Unified,Samuel Gompers Middle,Intermediate/Middle Schools (Public),Traditional,0,100
6035059,2023,Jefferson Elementary,Jefferson Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
0122796,2023,Warner Unified,All Tribes Elementary Charter,Elementary Schools (Public),Traditional,1,100
6119275,2023,Warner Unified,All Tribes Charter,K-12 Schools (Public),Traditional,1,100
6089569,2023,San Francisco Unified,Lee (Edwin and Anita) Newcomer,Elementary Schools (Public),Traditional,0,100
6050827,2023,Klamath River Union Elementary,Klamath River Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6052013,2023,Kashia Elementary,Kashia Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6053839,2023,Allensworth Elementary,Allensworth Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
5530092,2023,Summerville Union High,South Fork High,High Schools (Public),Traditional,0,100
5530100,2023,Summerville Union High,Cold Springs High,High Schools (Public),Traditional,0,100
6014963,2021,Lennox,Jefferson Elementary,Elementary Schools (Public),Traditional,0,99.88518944
6017990,2022,Los Angeles Unified,Magnolia Avenue Elementary,Elementary Schools (Public),Traditional,0,99.83305509
0100610,2021,Lennox,Dolores Huerta Elementary,Elementary Schools (Public),Traditional,0,99.81785064
6007041,2019,Parlier Unified,John C Martinez Elementary,Elementary Schools (Public),Traditional,0,99.8
0114199,2021,Los Angeles Unified,John H. Liechty Middle,Intermediate/Middle Schools (Public),Traditional,0,99.79231568
6061535,2022,Los Angeles Unified,"Johnnie Cochran, Jr., Middle",Intermediate/Middle Schools (Public),Traditional,0,99.78858351
0100289,2021,Los Angeles Unified,N.E.W. Academy of Science and Arts,Elementary Schools (Public),Traditional,0,99.76303318
0110239,2023,Oakland Unified,Reach Academy Elementary,Elementary Schools (Public),Traditional,0,99.75903614
0111211,2022,Los Angeles Unified,New Heights Charter,Elementary Schools (Public),Traditional,0,99.756691
0100289,2023,Los Angeles Unified,N.E.W. Academy of Science and Arts,Elementary Schools (Public),Traditional,1,99.75490196
6113849,2021,Coalinga-Huron Unified,Huron Middle,Intermediate/Middle Schools (Public),Traditional,0,99.75186104
6002075,2022,Oakland Unified,Bridges @ Melrose Academy,Elementary Schools (Public),Traditional,0,99.75186104
6059109,2021,Palm Springs Unified,Raymond Cree Middle,Intermediate/Middle Schools (Public),Traditional,0,99.74326059
6014971,2021,Lennox,Moffett Elementary,Elementary Schools (Public),Traditional,0,99.74259974
6114912,2022,Los Angeles Unified,Watts Learning Center,Elementary Schools (Public),Traditional,0,99.71751412
6059091,2021,Palm Springs Unified,Nellie N. Coffman Middle,Intermediate/Middle Schools (Public),Traditional,0,99.70845481
0124784,2021,Los Angeles Unified,Aspire Slauson Academy Charter,Elementary Schools (Public),Traditional,0,99.70674487
6010235,2019,Vineland Elementary,Vineland Elementary,Elementary Schools (Public),Traditional,0,99.7
111906,2019,San Diego Unified,King-Chavez Preparatory Academy,Intermediate/Middle Schools (Public),Traditional,1,99.7
6010227,2021,Vineland Elementary,Sunset,Intermediate/Middle Schools (Public),Traditional,0,99.68454259
0114199,2022,Los Angeles Unified,John H. Liechty Middle,Intermediate/Middle Schools (Public),Traditional,0,99.6547756
6117667,2021,Los Angeles Unified,Camino Nuevo Charter Academy,Elementary Schools (Public),Traditional,0,99.65337955
6120448,2023,Planada Elementary,Cesar E. Chavez Middle,Intermediate/Middle Schools (Public),Traditional,0,99.65034965
6007074,2021,Raisin City Elementary,Raisin City Elementary,Elementary Schools (Public),Traditional,0,99.64788732
6016612,2023,Los Angeles Unified,Compton Avenue Elementary,Elementary Schools (Public),Traditional,0,99.61685824
0123703,2021,Palm Springs Unified,Painted Hills Middle,Intermediate/Middle Schools (Public),Traditional,0,99.61340206
130997,2019,Los Angeles Unified,Sylmar Biotech Health Academy,High Schools (Public),Traditional,0,99.6
132613,2019,Orange County Department of Education,Vista Heritage Global Academy,Intermediate/Middle Schools (Public),Traditional,1,99.6
117853,2019,Stockton Unified,Dr. Lewis Dolphin Stallworth Sr. Charter,Elementary Schools (Public),Traditional,1,99.6
0111047,2022,Pomona Unified,Lopez Elementary,Elementary Schools (Public),Traditional,0,99.58071279
6110969,2021,Los Angeles Unified,Esperanza Elementary,Elementary Schools (Public),Traditional,0,99.57983193
0122242,2021,Los Angeles Unified,TEACH Academy of Technologies,Intermediate/Middle Schools (Public),Traditional,0,99.57081545
0117895,2023,Los Angeles Unified,Synergy Kinetic Academy,Intermediate/Middle Schools (Public),Traditional,1,99.55257271
0117895,2022,Los Angeles Unified,Synergy Kinetic Academy,Intermediate/Middle Schools (Public),Traditional,0,99.54441913
6058028,2022,Los Angeles Unified,Samuel Gompers Middle,Intermediate/Middle Schools (Public),Traditional,0,99.53596288
0128132,2023,Los Angeles Unified,Extera Public School No. 2,Elementary Schools (Public),Traditional,1,99.53488372
0114199,2023,Los Angeles Unified,John H. Liechty Middle,Intermediate/Middle Schools (Public),Traditional,0,99.52996475
6105746,2021,Fresno Unified,Miguel Hidalgo Elementary,Elementary Schools (Public),Traditional,0,99.52456418
6061527,2023,Los Angeles Unified,Edwin Markham Middle,Intermediate/Middle Schools (Public),Traditional,0,99.52229299
6019558,2023,Los Angeles Unified,Trinity Street Elementary,Elementary Schools (Public),Traditional,0,99.5215311
0100289,2022,Los Angeles Unified,N.E.W. Academy of Science and Arts,Elementary Schools (Public),Traditional,0,99.51690821
0129585,2023,Los Angeles Unified,Nava College Preparatory Academy,High Schools (Public),Traditional,0,99.50166113
128132,2019,Los Angeles Unified,Extera Public School No. 2,Elementary Schools (Public),Traditional,1,99.5
6040562,2019,Vallecitos Elementary,Vallecitos Elementary,Elementary Schools (Public),Traditional,0,99.5
6018527,2022,Los Angeles Unified,Florence Griffith Joyner Elementary,Elementary Schools (Public),Traditional,0,99.48849105
6001929,2023,Oakland Unified,Horace Mann Elementary,Elementary Schools (Public),Traditional,0,99.47916667
6061527,2022,Los Angeles Unified,Edwin Markham Middle,Intermediate/Middle Schools (Public),Traditional,0,99.47460595
0124792,2021,Los Angeles Unified,Aspire Juanita Tate Academy Charter,Elementary Schools (Public),Traditional,0,99.47368421
0124800,2021,Los Angeles Unified,Aspire Inskeep Academy Charter,Elementary Schools (Public),Traditional,0,99.47229551
6040562,2021,Vallecitos Elementary,Vallecitos Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,99.46524064
0123711,2021,Oakland Unified,Vincent Academy,Elementary Schools (Public),Traditional,0,99.45355191
1030774,2021,Washington Unified,W.E.B. DuBois Public Charter,K-12 Schools (Public),Traditional,0,99.40652819
6017610,2021,Los Angeles Unified,Holmes Avenue Elementary,Elementary Schools (Public),Traditional,0,99.4047619
6009203,2019,Bakersfield City,Williams Elementary,Elementary Schools (Public),Traditional,0,99.4
6007421,2022,Westside Elementary,Westside Elementary,Elementary Schools (Public),Traditional,0,99.39759036
6112692,2021,Palm Springs Unified,James Workman Middle,Intermediate/Middle Schools (Public),Traditional,0,99.37998229
0112870,2021,Los Angeles Unified,Contreras Learning Center-Los Angeles School of Global Studies,High Schools (Public),Traditional,0,99.37694704
0117895,2021,Los Angeles Unified,Synergy Kinetic Academy,Intermediate/Middle Schools (Public),Traditional,0,99.375
6023964,2022,Madera Unified,George Washington Elementary,Elementary Schools (Public),Traditional,0,99.37402191
0117721,2021,Los Angeles Unified,Contreras Learning Center-Academic Leadership Community,High Schools (Public),Traditional,0,99.37106918
6017610,2023,Los Angeles Unified,Holmes Avenue Elementary,Elementary Schools (Public),Traditional,0,99.36305732
6108443,2021,Palm Springs Unified,Desert Springs Middle,Intermediate/Middle Schools (Public),Traditional,0,99.31350114
124990,2019,Mono County Office of Education,Urban Corps of San Diego County Charter,High Schools (Public),Traditional,1,99.3
0124560,2021,Los Angeles Unified,Synergy Quantum Academy,High Schools (Public),Traditional,0,99.28186715
6017065,2021,Los Angeles Unified,Fifty-Second Street Elementary,Elementary Schools (Public),Traditional,0,99.2816092
6119598,2021,San Diego Unified,King-Chavez Academy of Excellence,Elementary Schools (Public),Traditional,0,99.27797834
6061535,2023,Los Angeles Unified,"Johnnie Cochran, Jr., Middle",Intermediate/Middle Schools (Public),Traditional,0,99.26605505
6018527,2023,Los Angeles Unified,Florence Griffith Joyner Elementary,Elementary Schools (Public),Traditional,0,99.26108374
6018105,2023,Los Angeles Unified,McKinley Avenue Elementary,Elementary Schools (Public),Traditional,0,99.25373134
6111025,2021,Palm Springs Unified,Bubbling Wells Elementary,Elementary Schools (Public),Traditional,0,99.24471299
0111047,2021,Pomona Unified,Lopez Elementary,Elementary Schools (Public),Traditional,0,99.24385633
0127795,2023,Los Angeles Unified,Contreras Learning Center-School of Social Justice,High Schools (Public),Traditional,0,99.23664122
6054373,2021,Stone Corral Elementary,Stone Corral Elementary,Elementary Schools (Public),Traditional,0,99.23076923
6054373,2022,Stone Corral Elementary,Stone Corral Elementary,Elementary Schools (Public),Traditional,0,99.21875
131870,2019,Los Angeles Unified,Resolute Academy Charter,Intermediate/Middle Schools (Public),Traditional,1,99.2
6023964,2019,Madera Unified,George Washington Elementary,Elementary Schools (Public),Traditional,0,99.2
6052799,2019,Modesto City Elementary,Robertson Road Elementary,Elementary Schools (Public),Traditional,0,99.2
0124453,2023,Los Angeles Unified,Dr. Julian Nava Learning Academy,Intermediate/Middle Schools (Public),Traditional,0,99.19614148
6110969,2023,Los Angeles Unified,Esperanza Elementary,Elementary Schools (Public),Traditional,0,99.19354839
0117721,2022,Los Angeles Unified,Contreras Learning Center-Academic Leadership Community,High Schools (Public),Traditional,0,99.19191919
0106922,2022,Los Angeles Unified,Maple Primary Center,Elementary Schools (Public),Traditional,0,99.18699187
6006373,2021,Fresno Unified,Lowell Elementary,Elementary Schools (Public),Traditional,0,99.18478261
0100776,2021,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,K-12 Schools (Public),Traditional,0,99.18032787
6117667,2023,Los Angeles Unified,Camino Nuevo Charter Academy,Elementary Schools (Public),Traditional,1,99.16943522
0113829,2023,Fresno Unified,Mario G. Olmos Elementary,Elementary Schools (Public),Traditional,0,99.15540541
6018568,2021,Los Angeles Unified,One Hundred Twelfth Street Elementary,Elementary Schools (Public),Traditional,0,99.15014164
6019558,2022,Los Angeles Unified,Trinity Street Elementary,Elementary Schools (Public),Traditional,0,99.13793103
6018006,2021,Los Angeles Unified,Main Street Elementary,Elementary Schools (Public),Traditional,0,99.10025707
107409,2019,Parlier Unified,S Ben Benavidez Elementary,Elementary Schools (Public),Traditional,0,99.1
6009013,2019,Bakersfield City,Jefferson Elementary,Elementary Schools (Public),Traditional,0,99.1
6009419,2019,Di Giorgio Elementary,Di Giorgio Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,99.1
122564,2019,Los Angeles Unified,Camino Nuevo Elementary #3,Elementary Schools (Public),Traditional,1,99.1
6034037,2019,Sacramento City Unified,Leataata Floyd Elementary,Elementary Schools (Public),Traditional,0,99.1
0124560,2022,Los Angeles Unified,Synergy Quantum Academy,High Schools (Public),Traditional,0,99.09255898
6120810,2022,Los Angeles Unified,MacArthur Park Elementary School for the Visual and Performing Arts,Elementary Schools (Public),Traditional,0,99.07192575
6110969,2022,Los Angeles Unified,Esperanza Elementary,Elementary Schools (Public),Traditional,0,99.07120743
6114292,2021,San Diego Unified,Kimbrough Elementary,Elementary Schools (Public),Traditional,0,99.0625
0124487,2022,Los Angeles Unified,Public Service Community at Diego Rivera Learning Complex,High Schools (Public),Traditional,0,99.0512334
1934371,2022,Los Angeles Unified,Thomas Jefferson Senior High,High Schools (Public),Traditional,0,99.04891304
6061535,2021,Los Angeles Unified,"Johnnie Cochran, Jr., Middle",Intermediate/Middle Schools (Public),Traditional,0,99.04214559
6002075,2023,Oakland Unified,Bridges @ Melrose Academy Elementary,Elementary Schools (Public),Traditional,0,99.03381643
6019889,2021,Los Angeles Unified,West Vernon Avenue Elementary,Elementary Schools (Public),Traditional,0,99.03225806
0118851,2021,San Diego Unified,King-Chavez Community High,High Schools (Public),Traditional,0,99.03225806
0117721,2023,Los Angeles Unified,Contreras Learning Center-Academic Leadership Community,High Schools (Public),Traditional,0,99.00596421
6108443,2023,Palm Springs Unified,Desert Springs Middle,Intermediate/Middle Schools (Public),Traditional,0,99.00373599
6007058,2019,Parlier Unified,Cesar E Chavez Elementary,Elementary Schools (Public),Traditional,0,99
6023998,2019,Madera Unified,James Monroe Elementary,Elementary Schools (Public),Traditional,0,99
6018469,2023,Los Angeles Unified,One Hundred Eighteenth Street,Elementary Schools (Public),Traditional,0,98.99598394
6018105,2021,Los Angeles Unified,McKinley Avenue Elementary,Elementary Schools (Public),Traditional,0,98.99280576
0119735,2023,Los Angeles Unified,Young Oak Kim Academy,Intermediate/Middle Schools (Public),Traditional,0,98.9821883
6009070,2021,Bakersfield City,McKinley Elementary,Elementary Schools (Public),Traditional,0,98.97959184
6015887,2021,Los Angeles Unified,Ascot Avenue Elementary,Elementary Schools (Public),Traditional,0,98.97959184
0129585,2022,Los Angeles Unified,Nava College Preparatory Academy,High Schools (Public),Traditional,0,98.97435897
6088546,2023,Fresno Unified,King Elementary,Elementary Schools (Public),Traditional,0,98.97435897
6057962,2023,Los Angeles Unified,Charles Drew Middle,Intermediate/Middle Schools (Public),Traditional,0,98.97209985
6105746,2023,Fresno Unified,Miguel Hidalgo Elementary,Elementary Schools (Public),Traditional,0,98.96551724
6019624,2022,Los Angeles Unified,Union Avenue Elementary,Elementary Schools (Public),Traditional,0,98.96313364
0131870,2022,Los Angeles Unified,Resolute Academy Charter,Intermediate/Middle Schools (Public),Traditional,0,98.95287958
6032015,2021,Desert Sands Unified,Thomas Jefferson Middle,Intermediate/Middle Schools (Public),Traditional,0,98.94921191
6006324,2023,Fresno Unified,Kirk Elementary,Elementary Schools (Public),Traditional,0,98.93899204
6023964,2021,Madera Unified,George Washington Elementary,Elementary Schools (Public),Traditional,0,98.93778452
6032403,2021,Palm Springs Unified,Cathedral City Elementary,Elementary Schools (Public),Traditional,0,98.93292683
6019889,2023,Los Angeles Unified,West Vernon Avenue Elementary,Elementary Schools (Public),Traditional,0,98.93238434
6120810,2021,Los Angeles Unified,MacArthur Park Elementary School for the Visual and Performing Arts,Elementary Schools (Public),Traditional,0,98.92703863
6017636,2021,Los Angeles Unified,Hoover Street Elementary,Elementary Schools (Public),Traditional,0,98.92141757
6055362,2021,Oxnard,Ramona Elementary,Elementary Schools (Public),Traditional,0,98.91696751
0120030,2023,Los Angeles Unified,Alliance College-Ready Middle Academy 4,Intermediate/Middle Schools (Public),Traditional,1,98.91304348
0121343,2022,San Bernardino City Unified,iEmpire Academy,Elementary Schools (Public),Traditional,0,98.9010989
128991,2019,Inglewood Unified,Grace Hopper STEM Academy,Intermediate/Middle Schools (Public),Traditional,1,98.9
6114292,2019,San Diego Unified,Kimbrough Elementary,Elementary Schools (Public),Traditional,0,98.9
6024020,2023,Madera Unified,Millview Elementary,Elementary Schools (Public),Traditional,0,98.89937107
6019459,2023,Los Angeles Unified,Tenth Street Elementary,Elementary Schools (Public),Traditional,0,98.89502762
6017776,2022,Los Angeles Unified,Langdon Avenue Elementary,Elementary Schools (Public),Traditional,0,98.8909427
1934371,2021,Los Angeles Unified,Thomas Jefferson Senior High,High Schools (Public),Traditional,0,98.88888889
6112486,2023,Corning Union Elementary,Rancho Tehama Elementary,Elementary Schools (Public),Traditional,0,98.88888889
0109033,2021,San Diego Unified,King-Chavez Arts and Athletics Academy,Elementary Schools (Public),Traditional,0,98.88475836
6115448,2021,Palm Springs Unified,Two Bunch Palms Elementary,Elementary Schools (Public),Traditional,0,98.88111888
0115626,2023,Oakland Unified,West Oakland Middle,Intermediate/Middle Schools (Public),Traditional,0,98.87640449
0124453,2022,Los Angeles Unified,Dr. Julian Nava Learning Academy,Intermediate/Middle Schools (Public),Traditional,0,98.86731392
6017610,2022,Los Angeles Unified,Holmes Avenue Elementary,Elementary Schools (Public),Traditional,0,98.86363636
6023998,2021,Madera Unified,James Monroe Elementary,Elementary Schools (Public),Traditional,0,98.85993485
6017065,2022,Los Angeles Unified,Fifty-Second Street Elementary,Elementary Schools (Public),Traditional,0,98.85057471
6023964,2023,Madera Unified,George Washington Elementary,Elementary Schools (Public),Traditional,0,98.84678748
1934454,2022,Los Angeles Unified,Jordan High,High Schools (Public),Traditional,0,98.84615385
6020028,2022,Los Angeles Unified,Woodcrest Elementary,Elementary Schools (Public),Traditional,0,98.82747069
6020028,2023,Los Angeles Unified,Woodcrest Elementary,Elementary Schools (Public),Traditional,0,98.82352941
0111518,2021,Los Angeles Unified,Alliance Jack H. Skirball Middle,Intermediate/Middle Schools (Public),Traditional,0,98.81516588
0113829,2021,Fresno Unified,Mario G. Olmos Elementary,Elementary Schools (Public),Traditional,0,98.81129272
6088546,2021,Fresno Unified,King Elementary,Elementary Schools (Public),Traditional,0,98.80952381
0126714,2023,San Bernardino City Unified,Woodward Leadership Academy,Elementary Schools (Public),Traditional,1,98.80952381
0113811,2022,Fresno Unified,Deborah A. Williams Elementary,Elementary Schools (Public),Traditional,0,98.80546075
6018188,2021,Los Angeles Unified,Miramonte Elementary,Elementary Schools (Public),Traditional,0,98.80418535
